,Australia,COVID,cases,says,Covid,Melbourne,Victoria,Sydney,records,vaccine,climate,Australian,Morrison,could,Omicron,Christmas,year,Ashes,Djokovic,Open,Ukraine,Russia,Russian,Putin,invasion,Biden,China,Ukrainian,election,Trump
2021-09-01,414,139,248,248,187,196,190,185,170,151,97,141,137,105,0,34,57,22,1,5,0,11,13,10,4,59,138,2,51,42
2021-10-01,809,268,390,359,276,284,325,320,241,198,305,276,167,239,0,40,109,58,9,32,0,25,15,4,2,68,161,0,47,79
2021-11-01,730,224,228,355,246,241,207,287,136,162,207,278,234,212,193,89,104,59,11,32,10,25,23,5,2,78,176,0,80,62
2021-12-01,766,417,431,282,342,168,150,420,152,133,72,225,109,216,506,499,302,310,24,41,41,29,27,33,5,63,134,0,78,74
2022-01-01,775,526,392,309,333,152,172,291,193,107,48,618,125,166,330,18,157,169,519,389,144,118,33,39,18,97,90,1,59,76
2022-02-01,667,224,181,454,215,108,89,262,99,78,64,264,218,238,64,5,97,21,19,15,1035,593,478,430,294,162,209,173,110,116
2022-03-01,807,302,212,1363,418,173,85,447,93,121,144,286,219,536,92,8,199,2,7,35,3903,2356,1985,1302,611,1026,926,842,220,376
2022-04-01,733,343,222,1425,498,220,126,432,52,96,204,346,494,556,44,6,184,2,12,31,2263,1373,1057,668,146,776,830,496,709,517
2022-05-01,256,99,62,693,188,99,31,120,23,35,55,145,196,250,19,7,101,0,5,11,796,399,391,261,47,314,345,148,301,274
